2017-11-09 08:45:16,228 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Load registry store file C:\Users\m1885\.dubbo\dubbo-registry-192.168.28.152.cache, data: {cn.mldn.dibmp.ccc.service.IStorgeApplyService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.IStorgeApplyService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IStorgeApplyService&methods=add&pid=7592&revision=dev&side=provider&timestamp=1510135273970&version=dev, cn.mldn.dibmp.ccc.service.ICityService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.ICityService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.ICityService&methods=listByProvince&pid=7592&revision=dev&side=provider&timestamp=1510135274228&version=dev, cn.mldn.dibmp.ccc.service.IWitemService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.IWitemService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IWitemService&methods=list&pid=11252&revision=dev&side=provider&timestamp=1510144116768&version=dev, cn.mldn.dibmp.ccc.service.IProvinceService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=7592&revision=dev&side=provider&timestamp=1510135274469&version=dev, cn.mldn.dibmp.ccc.service.IWarehouseService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.IWarehouseService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IWarehouseService&methods=listByWitem&pid=7592&revision=dev&side=provider&timestamp=1510135274094&version=dev, cn.mldn.dibmp.ccc.service.ISubtypeService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.ISubtypeService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.ISubtypeService&methods=findByWiid&pid=7592&revision=dev&side=provider&timestamp=1510135273809&version=dev, cn.mldn.dibmp.storage.service.IStorgeRecordService:dev=empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeRecordService?application=web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeRecordService&methods=add,listRecord&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046413123&version=dev empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeRecordService?application=web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeRecordService&methods=add,listRecord&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046413123&version=dev dubbo://192.168.218.1:9222/cn.mldn.dibmp.storage.service.IStorgeRecordService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.storage.service.IStorgeRecordService&methods=add,listRecord&pid=13404&revision=dev&side=provider&timestamp=1510046275046&version=dev, cn.mldn.dibmp.storage.service.IStorgeApplyService:dev=empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeApplyService?application=web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeApplyService&methods=add,updateStatus,listSplitFont&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046412957&version=dev empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeApplyService?application=web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeApplyService&methods=add,updateStatus,listSplitFont&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046412957&version=dev dubbo://192.168.218.1:9222/cn.mldn.dibmp.storage.service.IStorgeApplyService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.storage.service.IStorgeApplyService&methods=add,updateStatus,listSplitFont&pid=13404&revision=dev&side=provider&timestamp=1510046269855&version=dev, cn.mldn.dibmp.fyh.service.IWarehouseService:dev=empty://192.168.221.1:9633/cn.mldn.dibmp.fyh.service.IWarehouseService?anyhost=true&application=mldn-service-warehouse&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.fyh.service.IWarehouseService&methods=add,addAdmin,addPre,listStorageApply,list&pid=15260&revision=dev&side=provider&timestamp=1510188208641&version=dev, cn.mldn.dibmp.ccc.service.IGoodsService:dev=empty://192.168.218.1:9223/cn.mldn.dibmp.ccc.service.IGoodsService?anyhost=true&application=mldn-service-market&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IGoodsService&methods=add,update,findByName,list,editPre&pid=7592&revision=dev&side=provider&timestamp=1510135274349&version=dev, cn.mldn.dibmp.yaojia.service.ISaleService:dev=empty://192.168.218.1/cn.mldn.dibmp.yaojia.service.ISaleService?application=web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.yaojia.service.ISaleService&methods=add,edit,getAddPre,listC,list&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046409176&version=dev empty://192.168.218.1/cn.mldn.dibmp.yaojia.service.ISaleService?application=web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.yaojia.service.ISaleService&methods=add,edit,getAddPre,listC,list&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046409176&version=dev dubbo://192.168.218.1:9225/cn.mldn.dibmp.yaojia.service.ISaleService?anyhost=true&application=mldn-service-sale&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.yaojia.service.ISaleService&methods=add,getAddPre,edit,listC,list&pid=2832&revision=dev&side=provider&timestamp=1510046351931&version=dev, cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService:dev=empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService?application=web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService&methods=add,findBySadid,listGoodsBack&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046413283&version=dev empty://192.168.218.1/cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService?application=web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService&methods=add,findBySadid,listGoodsBack&pid=9940&revision=0.0.1&side=consumer&timestamp=1510046413283&version=dev dubbo://192.168.218.1:9222/cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.storage.service.IStorgeApplyDetailsService&methods=add,findBySadid,listGoodsBack&pid=13404&revision=dev&side=provider&timestamp=1510046274932&version=dev, cn.mldn.dibmp.service.IMemberService:dev=empty://192.168.221.1/cn.mldn.dibmp.service.IMemberService?application=mldn-service-web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=3780&revision=0.0.1&side=consumer&timestamp=1510188260578&version=dev empty://192.168.221.1/cn.mldn.dibmp.service.IMemberService?application=mldn-service-web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=3780&revision=0.0.1&side=consumer&timestamp=1510188260578&version=dev empty://192.168.221.1/cn.mldn.dibmp.service.IMemberService?application=mldn-service-web&category=providers&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=3780&revision=0.0.1&side=consumer&timestamp=1510188260578&version=dev}, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:45:20,811 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:45:20,877 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:45:20,935 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev, urls: [empty://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:45:20,964 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:54:45,680 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:54:45,695 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:2124,url:dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:55:54,393 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:55:54,394 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:2967,url:dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid&pid=14024&revision=dev&side=provider&timestamp=1510188315896&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-09 08:56:18,985 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
